cluster_label,0,1,2,3,meta_cluster
76,-0.40260378,1.3792609,-1.0970906,-0.12337969,3
77,0.1863685,1.1307721,-1.0476336,-0.29284716,1
78,0.574758,1.0929048,-1.0836173,0.08629672,1
79,-0.6509681,1.6143223,-1.0233752,-0.1449301,3
80,-0.33191982,1.1644663,-0.9215726,-0.20763983,3
81,-0.54160154,1.4551477,-1.2230566,-0.06136009,3
82,-0.51631135,0.36618313,-0.5541979,-0.2646229,3
83,-0.36172402,1.1264104,-0.59890205,-0.3979643,3
84,-0.59558356,0.96188676,-0.44562918,-0.2677831,3
85,-0.41922817,1.5093473,-0.94809264,-0.37588057,3
86,-0.2566144,1.3684915,-0.91079634,-0.3427705,3
87,-0.36377147,0.5888784,0.28751075,-0.6915596,3
88,-0.2506264,-0.47430733,2.0643144,-1.208482,0
89,-0.2756806,-0.5042719,2.3270772,-1.419027,0
90,0.20382072,-1.2973105,2.4956722,-0.5543736,0
91,0.14419404,-1.1756613,2.2314079,-0.407551,0
92,-0.12336745,-0.6728299,1.3674985,-0.23452982,0
93,-1.2823448,1.2596943,-0.763803,0.0062616128,3
94,-0.87342775,0.6580661,-0.8389866,0.7820769,3
95,-0.3627131,1.1446813,-0.76437044,-0.3580258,3
96,0.11481843,0.10193849,0.6772035,-1.1591777,0
97,-0.32045758,-0.30074316,1.995244,-1.6086988,0
98,-0.31190252,-0.4416123,2.3023572,-1.7331234,0
99,0.76209104,-1.4428701,1.3208643,1.7292554,4
100,1.034948,-1.5244516,-0.48245186,1.2362148,2
101,1.3892343,-1.2962697,-1.4087244,0.83333653,2
102,1.2288241,0.05311805,-2.3496954,-0.10819602,1
103,1.4784924,0.16443191,-2.5723665,-0.44182345,1
104,1.7235838,0.07283681,-2.6596866,-0.19713335,1
105,1.4196756,-0.16480881,-2.505273,0.264024,1
106,1.8001181,0.08994867,-2.8177416,-0.31754068,1
107,2.0051198,0.16585517,-2.8422468,-0.6220773,1
108,2.1612191,0.1451066,-2.8586197,-0.66538227,1
109,1.6553053,0.08508071,-2.8531356,-0.18478754,1
110,1.5103929,0.10715786,-2.6917758,-0.11798647,1
111,0.406828,0.19443358,-1.6831042,0.15032351,1
112,0.16720195,0.20478326,-1.4435849,0.27269414,1
113,0.011595445,0.12274418,-1.0271083,0.35482863,3
114,-0.062103283,0.13065064,-0.72325826,0.27837658,3
115,-0.13683861,0.13490215,-0.7334615,0.47987777,3
116,1.5215816,0.1899371,-2.4161015,-0.35091016,1
117,1.5370327,0.091512986,-2.7042172,-0.59103936,1
118,3.1519976,0.19671549,-3.3690119,-0.9163612,1
119,3.4352221,0.15087783,-3.4359689,-0.9481409,1
120,4.166444,0.15161233,-3.4013207,-1.0069051,1
121,4.486394,0.14714682,-3.373384,-1.0029534,1
122,3.882661,0.21115509,-3.2793117,-0.9191948,1
123,0.40177345,0.102627285,-1.0798817,-0.79238415,1
124,-0.21143556,-0.4797575,1.521638,-0.63130444,0
125,-0.12893382,-0.61294144,1.6710762,-0.38615993,0
126,1.2846135,-0.17044029,-2.584889,0.25341722,1
127,1.495952,0.06082879,-2.6807551,0.022990402,1
128,2.028664,0.13409564,-2.815452,-0.26716644,1
129,-0.38712937,0.37355152,-0.5388658,-0.59637237,3
130,-0.17680864,0.29518706,-0.8019632,-0.5943964,3
131,0.5700545,0.010321145,-1.7726493,-0.6520399,1
132,0.18069015,0.1941339,-1.4462631,-0.57456243,1
133,-0.33382604,0.27217138,-0.39475116,-0.6281518,3
134,-0.37307262,-0.27370885,1.76454,-1.3464324,0
135,-0.47906795,-0.14189097,1.7700262,-1.5577502,0
136,-0.5342599,0.7989944,-0.44263554,-0.54425776,3
137,-0.3560039,-0.30671537,2.075385,-1.2372696,0
138,-0.25847748,-0.3653991,1.6317364,-0.59349716,0
139,2.4137282,-1.0237408,-1.9388082,0.17377146,1
140,2.1847937,-1.1323327,-1.5561607,0.395126,1
141,2.101733,-1.0642816,-1.3716439,0.10637404,1
142,3.1584406,-0.6654484,-2.7193289,-0.12989174,1
143,2.4490469,-0.59369564,-2.320255,-0.38437632,1
144,0.92798066,-0.6823351,-0.590265,-0.5553043,1
145,-0.2463084,-0.21344554,0.3532618,-0.2080841,0
146,0.42014393,-1.5396786,2.3739378,-0.8759828,0
147,0.33716935,-1.4549416,2.5473459,-1.0877911,0
148,0.23388799,-1.4067684,2.7872288,-0.89998066,0
149,0.33594173,-1.4727954,2.4880636,-0.5285298,0
150,1.8525902,-0.7008422,-1.9908949,0.032513615,1
151,-0.60545677,0.60338956,-0.67806226,-0.22981396,3
152,-0.3099223,0.19292384,0.017576858,-0.736926,3
153,-0.43872306,0.84182215,-0.22492215,-0.40468156,3
154,-0.58768976,1.3201032,-0.6240672,-0.42386636,3
155,-0.20247276,0.6905497,-0.11072481,-0.62175286,3
156,-0.30810517,0.63868964,0.06242598,-0.62437314,3
157,-0.5693468,1.3213692,-0.5031448,-0.43431452,3
158,0.10375031,0.82831126,-0.3898891,-0.4946262,1
159,-0.19620655,0.8964791,-0.1544638,-0.59086174,3
160,-0.2357033,1.0019779,-0.39624825,-0.5192057,3
161,0.02786633,-0.9249439,2.0295055,-0.6516329,0
162,0.5154528,1.0780101,-0.05945264,-1.2840374,1
163,0.3755981,1.1813319,-0.021557987,-0.93418676,1
164,0.549443,0.93906265,-0.046413016,-0.79613477,1
165,0.46580514,1.1774532,-0.5139918,-0.43205914,1
166,0.5602395,1.0107738,-0.46482074,-0.240119,1
167,0.83311015,0.35934892,1.4094208,-1.816538,0
168,0.9599804,0.11966493,1.7150055,-1.8100619,0
