filename,top_labels
nn01a_20180929_000000_segment_1008.wav,"[(np.str_('""Animal""'), 0.3332090973854065), (np.str_('""Cricket""'), 0.28755292296409607), (np.str_('""Insect""'), 0.2712520658969879), (np.str_('""Horse""'), 0.1830611228942871), (np.str_('""Clip-clop""'), 0.12097183614969254)]"
nn01a_20180929_000000_segment_1009.wav,"[(np.str_('""Insect""'), 0.5775875449180603), (np.str_('""Cricket""'), 0.547299325466156), (np.str_('""Patter""'), 0.15569676458835602), (np.str_('""Animal""'), 0.13729655742645264), (np.str_('""Outside'), 0.05379197373986244)]"
nn01a_20180929_000000_segment_101.wav,"[(np.str_('""Frog""'), 0.2976006865501404), (np.str_('""Animal""'), 0.15545937418937683), (np.str_('""Owl""'), 0.12745919823646545), (np.str_('""Cricket""'), 0.12706264853477478), (np.str_('""Insect""'), 0.11976807564496994)]"
nn01a_20180929_000000_segment_1010.wav,"[(np.str_('""Animal""'), 0.37302711606025696), (np.str_('""Cricket""'), 0.3503683805465698), (np.str_('""Insect""'), 0.34660637378692627), (np.str_('""Horse""'), 0.19095788896083832), (np.str_('""Clip-clop""'), 0.1823287010192871)]"
nn01a_20180929_000000_segment_1011.wav,"[(np.str_('""Insect""'), 0.5849693417549133), (np.str_('""Cricket""'), 0.5587202310562134), (np.str_('""Animal""'), 0.20548757910728455), (np.str_('""Patter""'), 0.09910580515861511), (np.str_('""Outside'), 0.05535479262471199)]"
nn01a_20180929_000000_segment_1012.wav,"[(np.str_('""Insect""'), 0.5290905833244324), (np.str_('""Cricket""'), 0.5073763132095337), (np.str_('""Animal""'), 0.29109686613082886), (np.str_('""Horse""'), 0.09273519366979599), (np.str_('""Patter""'), 0.09166564792394638)]"
nn01a_20180929_000000_segment_1013.wav,"[(np.str_('""Insect""'), 0.40808141231536865), (np.str_('""Cricket""'), 0.3731149435043335), (np.str_('""Animal""'), 0.29975640773773193), (np.str_('""Horse""'), 0.11549631506204605), (np.str_('""Clip-clop""'), 0.09562275558710098)]"
nn01a_20180929_000000_segment_1014.wav,"[(np.str_('""Insect""'), 0.4488103687763214), (np.str_('""Cricket""'), 0.43859606981277466), (np.str_('""Animal""'), 0.23684245347976685), (np.str_('""Horse""'), 0.06962545216083527), (np.str_('""Clip-clop""'), 0.06575954705476761)]"
nn01a_20180929_000000_segment_1015.wav,"[(np.str_('""Insect""'), 0.6140298843383789), (np.str_('""Cricket""'), 0.6002270579338074), (np.str_('""Animal""'), 0.203114315867424), (np.str_('""Patter""'), 0.09926605969667435), (np.str_('""Horse""'), 0.06055989861488342)]"
nn01a_20180929_000000_segment_1016.wav,"[(np.str_('""Insect""'), 0.43650132417678833), (np.str_('""Cricket""'), 0.42434027791023254), (np.str_('""Animal""'), 0.25756964087486267), (np.str_('""Horse""'), 0.09961532056331635), (np.str_('""Clip-clop""'), 0.08742157369852066)]"
nn01a_20180929_000000_segment_1017.wav,"[(np.str_('""Cricket""'), 0.6202671527862549), (np.str_('""Insect""'), 0.61423259973526), (np.str_('""Animal""'), 0.17322632670402527), (np.str_('""Patter""'), 0.11544875055551529), (np.str_('""Horse""'), 0.04942065477371216)]"
nn01a_20180929_000000_segment_1018.wav,"[(np.str_('""Insect""'), 0.739233672618866), (np.str_('""Cricket""'), 0.7382581233978271), (np.str_('""Animal""'), 0.1235378310084343), (np.str_('""Patter""'), 0.07102348655462265), (np.str_('""Outside'), 0.03457082435488701)]"
